Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,media/logo.png,,,,11,,,,43.72429781,12.63673724,,,,
"Urbino, città del Rinascimento",media/urbino.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"Urbino &egrave la perla del Rinascimento dell’Italia Centrale. Un borgo murato poggiato su due colli che conserva il fascino delle sue origini medievali e rinascimentali. Fu capitale del Ducato di Montefeltro, che vide fiorire arte, cultura e architettura sotto la guida di Federico da Montefeltro e di Ottaviano Ubaldini, le cui scelte trasformarono Urbino in un laboratorio di eccellenza artistica e culturale.
Al centro della citt&agrave si erge il Palazzo Ducale, uno dei pi&ugrave importanti edifici rinascimentali italiani, oggi sede della Galleria Nazionale delle Marche, che ospita capolavori di Piero della Francesca, Raffaello, Tiziano e altri maestri. Tra le strade lastricate del centro storico, dichiarato Patrimonio dell’Umanit&agrave UNESCO, si possono ammirare torri, palazzi nobiliari, chiese e scorci che hanno ispirato pittori e architetti per secoli.
Urbino fu anche la citt&agrave di Raffaello Sanzio, nato qui nel 1483, e della sua scuola, che ha lasciato un’impronta indelebile sull’arte mondiale e che trova oggi le sue eredit&agrave nella Scuola del Libro, nell'accademia di belle arti, nell’Isia e naturalmente nell’Universit&agrave.
Perdendosi per il borgo, scendendo dalla fortezza Albornoz, si respira un’atmosfera sospesa tra storia e vita contemporanea, citt&agrave di studenti e di turisti, con piccole botteghe, caff&egrave storici e scorci panoramici che si affacciano sulle cesane e poi verso l’appennino… ma soprattutto vivere l’esperienza di una citt&agrave che offre punti di vista diversi per ammirare il Palazzo Ducale con i suoi torricini.",15,,,,43.72429781,12.63673724,,,,
La valletta di Riceci,media/riceci.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"C’&egrave una strada, la Provinciale 73, che dalla localit&agrave di Cappone sale verso Colbordolo per scendere poi verso Montefabbri, rimanendo in cresta quasi fino ad arrivare a Urbino, offrendo panoramiche commoventi che non possono non essere state modello per Piero e Raffaello.
Quando la 73 diventa 56, dopo il bivio per i Forcuini, sulla sinistra potreste trovare una carrareccia che vi porter&agrave attraverso Riceci, una localit&agrave agricola adagiata in una valletta nascosta ai pi&ugrave che scende verso Gallo di Petriano.
Riceci &egrave un paesaggio, una strada bianca che attraversa campi coltivati e calanchi. &egrave un luogo nascosto, dove le linee dell'uomo stranamente sono rimaste in armonia con quelle della natura ed &egrave un luogo in cui puoi restare a guardare l’armonia delle cose.. Non &egrave un monumento, non &egrave un centro storico, &egrave un paesaggio rinascimentale, ed &egrave praticamente perfetto e cos&igrave deve restare.",15,,,,43.79907864,12.68796093,,,,
Montecalvo e la sua torre,media/cotogna.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"La Torre Cotogna faceva parte del sistema difensivo del Ducato dei Montefeltro, un sistema difensivo che comprendeva un'estesa rete di torri, rocche e fortificazioni, spesso dotate di torri civiche e torri di guardia, utilizzate per il controllo del territorio e la difesa dei confini.
Rimangono a testimoniare questa rete anche la Torre della Metola, la torre sopra Parchiule.
Le torri avevano funzione di sorveglianza e avvistamento; difesa armata e controllo militare, viario ed economico. 
La Cotogna sorge su una collina strategica con vista sulla valle del Foglia di fronte a Montecalvo, in posizione utile a controllare i confini contesi con Malatesta e Sforza.
Alta oltre 17 metri e a pianta quadrata (7 m per lato), ha base in ciottoli e parte superiore in mattoni. In passato ospitava una guarnigione e fungeva da torre di avvistamento e comunicazione visiva.
Oggi &egrave in stato di degrado, ma dal 1919 &egrave tutelata come bene culturale e si avvia un progetto di recupero turistico-culturale. Una delle poche rimaste tra le circa 40 torri medievali del Montefeltro, il suo nome potrebbe derivare dal frutto della cotogna o da radici linguistiche gotiche.
Montecalvo in Foglia &egrave un piccolo borgo delle Marche appoggiato sulle colline disegnate da strade, siepi tra campi coltivati, poderi che finiscono sui calanchi (un fenomeno geomorfologico di erosione del terreno che si produce per l'effetto di dilavamento delle acque piovane su rocce argillose lasciando in vista dei piccoli canyon) Montecalvo &eacute un ameno centro storico che conserva case in pietra e scorci panoramici che spaziano tra Marche e Romagna. Nel borgo che non ha vocazione turistica ma mantiene un’atmosfera genuina e tranquilla, ideale per chi non ama la ressa costiera. Uno scorcio di passato nel presente.",15,,,,43.81255668,12.63113421,,,,
Pesaro e la Baia Flaminia,media/baia.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"Pesaro (l’antica Pisaurum, secondo la tradizione legata alla “pesa dell’oro” nel suo porto) &egrave una citt&agrave adagiata tra due monti: a sud l’Ardizio, a nord il San Bartolo. Quest’ultimo scende dolcemente fino al mare, creando una baia unica nel suo genere: Baia Flaminia. Qui natura, storia e memoria si intrecciano.
La baia nel quartiere di Soria, conserva l’anima del piccolo paese, accogliendo i visitatori e cittadini e si chiude alla foce del fiume Foglia, che termina il suo viaggio proprio in questo punto. Baia Flaminia &egrave stata chiamata nei secoli Campo di Marte o Piazza d’Armi: un luogo che fu scenario di un eccidio nazi-fascista, poi pascolo per cavalli, fonte di ispirazione per i ceramisti pesaresi che qui venivano a osservare e disegnare i nobili animali e a raccogliere peli di bue per realizzare i pennelli da usare sulle preziose maioliche.
Oggi la baia flaminia si offre come passeggio romantico e a fine giugno diventa infatti il suggestivo scenario del Sunset Best View, quando, in uno stesso giorno, &egrave possibile ammirare sia l’alba che il tramonto sulla medesima linea d’orizzonte.
Baia Flaminia &egrave anche la porta d’ingresso al Parco Naturale del Monte San Bartolo, che custodisce due anime: quella della strada panoramica, mito dei motociclisti dagli anni Cinquanta in poi, e quella pi&ugrave intima e selvaggia del Parco, rifugio di flora e fauna e scrigno di borghi caratteristici come ad esempio Fiorenzuola di Focara.",15,,,,43.92280146,12.89544685,,,,
Fano e i trabucchi,media/fano.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"Fano &egrave situata lungo la costa adriatica nella provincia di Pesaro e Urbino, ed &egrave una delle citt&agrave pi&ugrave antiche delle Marche, con origini romane ben visibili nell’Arco di Augusto. Conosciuta come come Fanum Fortunae “Citt&agrave della Fortuna” vanta un ricco patrimonio storico e artistico, un vivace porto e tradizioni marinare ancora vive. Le sue spiagge, la gastronomia a base di pesce e il celebre Carnevale, tra i pi&ugrave antichi d’Italia, ne fanno una meta turistica di rilievo.
Custodisce importanti testimonianze medievali e rinascimentali, come la Rocca e il Palazzo Malatestiano, che raccontano il ruolo strategico della citt&agrave lungo la costa adriatica. Il mare &egrave parte essenziale della sua identit&agrave: il porto ha da sempre sostenuto la vita commerciale e marinara, mentre il suggestivo Molo dei Trabucchi conserva la tradizione della pesca con tradizionali strutture lignee su palafitte, le cui grandi reti calate e issate a mano rappresentano un simbolo della cultura marittima dell’adriatico.
Fano unisce il fascino dell’arte e della storia con quello del mare, con i ritmi tranquilli di un paese tipico marchigiano. La sua porta &egrave di fatto l’inizio della via Flaminia, realizzata nel 220 a.C. dal console Gaio Flaminio e rese Fano uno snodo strategico per i commerci, i traffici e i collegamenti tra la capitale e l’Adriatico. Ancora oggi, il tracciato storico &egrave in parte ricalcato dall’attuale SS3 Flaminia, mantenendo Fano come punto terminale della rotta.",15,,,,43.85486158,13.01526121,,,,
Fossombrone e le Marmitte dei Giganti,media/marmitte.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"Adagiata lungo la valle del Metauro, c’&egrave Fossombrone, una citt&agrave fatta di storia e natura. Appoggiata su una collina ripida che dalle foreste delle Cesane scende verso il fiume, sorvegliata dai resti di una rocca malatestiana.
Le sue origini risalgono all’antico municipio romano di Forum Sempronii, fondato nel II sec. a.C. lungo la via Flaminia, che collegava Roma all’Adriatico. Proprio la strada consolare favor&igrave lo sviluppo del centro, che nel Medioevo pass&ograve sotto il dominio dei Malatesta e poi dei Montefeltro, entrando a pieno titolo nella fioritura del Rinascimento urbinate. Il cuore storico della citt&agrave conserva eleganti palazzi, il Ponte della Concordia sul Metauro, la Rocca Malatestiana e il Museo Archeologico Vernarecci, che custodisce i resti dell’antica Forum Sempronii.
A pochi chilometri dal centro si trova uno degli spettacoli naturali pi&ugrave sorprendenti delle Marche: le Marmitte dei Giganti, scavate dal lavoro millenario del fiume Metauro nella gola di San Lazzaro dove l’acqua ha creato profonde cavit&agrave e un canyon dalle pareti verticali, lungo circa 500 metri. Il nome evocativo rimanda a una leggenda popolare: si credeva che fossero i pentoloni usati da giganti per cucinare.
Il luogo si raggiunge dal Ponte dei Saltelli da cui parte un sentiero che scende fino al cuore della forra. In estate &egrave possibile anche esplorarla in canoa o kayak, ammirando da un punto di vista unico le rocce levigate sulle acque limpide del Metauro.
Visitare Fossombrone e le Marmitte dei Giganti significa vivere un’esperienza completa: storia romana, arte rinascimentale e natura incontaminata, in un territorio che racconta secoli di intrecci tra uomo e paesaggio.",15,,,,43.68526163,12.78168616,,,,
La Gola del Furlo,media/furlo.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"La Gola del Furlo &egrave uno dei luoghi naturali pi&ugrave affascinanti delle Marche: un antico orrido scavato con pazienza millenaria dal fiume Candigliano, che nasce in Umbria e, dopo aver attraversato la gola, confluisce nel Metauro prima di giungere al mare di Fano. Le sue imponenti pareti rocciose, che separano il Monte Pietralata (lato Urbino e Montefeltro) dal Monte Paganuccio (lato Cagli e Pergola), offrono uno spettacolo mozzafiato e un silenzio quasi mistico che invita a fermarsi e contemplare.
La gola &egrave stata da sempre un passaggio strategico, gi&agrave gli Etruschi scavarono un primo varco nella roccia; successivamente l’imperatore Vespasiano fece realizzare una galleria pi&ugrave ampia, detta petra pertusa o forulum (“piccolo foro”), da cui deriverebbe il nome “Furlo”. Accanto si trovano ancora i resti della chiesetta della Botte, un tempo dimora di eremiti.
In epoca fascista invece, sulle pareti del Pietralata venne persino scolpito il profilo di Mussolini, poi distrutto da una partigiana del luogo.
Dopo anni difficili, segnati anche dall’attivit&agrave estrattiva negli anni ’70, oggi la Gola del Furlo &egrave una Riserva Naturale Statale, rifugio per le aquile che qui nidificano e paradiso per escursionisti. Dal Parco Pubblico “La Golena” partono sentieri che si arrampicano verso il Pietralata e il Paganuccio, mentre lungo il fiume si possono praticare attivit&agrave come kayak o semplicemente sostare all’ombra dei grandi alberi. Con un po’ di fortuna, alzando lo sguardo, &egrave possibile osservare l’aquila reale. Il Furlo &egrave un luogo magico che cambia i suoi colori con la luce del giorno e delle stagioni.",15,,,,43.63886368,12.71409206,,,,
Fermignano e la Cartiera,media/fermignano.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"Fermignano, adagiata lungo il fiume Metauro, &egrave una cittadina ricca di storia e fascino, famosa per il suo suggestivo ponte romano a tre arcate e per la torre medievale che domina il centro storico. Uno dei simboli pi&ugrave rappresentativi della sua identit&agrave &egrave la cartiera, che affonda le radici in un’antica tradizione legata alla produzione. Gi&agrave nel Rinascimento, sotto i Montefeltro, la cartiera, poi opificio di Fermignano, era rinomata per la qualit&agrave della sua carta, apprezzata in tutta Italia e oltre. Le acque del Metauro garantivano la materia prima ideale per la lavorazione, rendendo questo luogo un punto di riferimento per scrittori, artisti e copisti del tempo.
La Cartiera, conosciuta ora come ex Lanificio Carotti, uno spazio espositivo unico nel suo genere, &egrave testimone del lavoro artigianale e conserva la memoria di un sapere antico che ha reso Fermignano un centro unico nel panorama marchigiano.
Passeggiare per Fermignano significa quindi riprendere contatto con i ritmi di paese, con le sue architetture e con la storia di un territorio che ha saputo trasformare un’attivit&agrave artigianale in un segno distintivo della propria identit&agrave e veicolo attivo della trasmissione della cultura.",15,,,,43.67625645,12.64714259,,,,
La Torre del Peglio e il borgo,media/peglio.png,cristianoandreani.com,https://cristianoandreani.com/categoria-prodotto/lungo-la-strada/,"La Torre del Peglio si erge come una sentinella discreta, che dall'alto osserva silenziosa la splendida valle attorno a Urbania. Da qui lo sguardo abbraccia un crocevia di strade storiche: verso Urbino passando per le Capute o per Fermignano, verso Piobbico e il Monte Nerone, fino a Mercatello sul Metauro e all'Alpe della Luna.
Fu castello del Vicario, uomo del duca federico che per lui controllava e amministrava quel territorio.
Il panorama che si apre dalla torre &egrave mozzafiato: 360 gradi dall'Appennino al mare, dalle Marche alla Toscana, un paesaggio rinascimentale che non pu&ograve non avere ispirato Leonardo da Vinci e Raffaello Sanzio. All'orizzonte si distinguono il Monte Catria, il Petrano, il Nerone, il Carpegna, i Sassi Simone e Simoncello, Monte Copiolo e persino le torri della repubblica di San Marino.
Sulla torre spicca il ""Sogno di Fantaso"", mentre nel piccolo borgo si snodano percorsi d'arte e itinerari che conducono alla scoperta di piccoli tesori nascosti. Passeggiando tra le vie del centro storico si respira l'aria dei paesi ""di una volta"" custodi di una memoria che ancora oggi emoziona e affascina.",15,,,,43.69594389,12.49587256,,,,
